NOAA Climate region,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,iqr,median
Northern Rockies and Plains,7.057521393,7.595299779,7.116873302,5.655959612,5.535422274,6.228606744,5.992411769,8.033167047,5.976477239,5.848467764,7.589512629,7.73863289,6.964660707,5.894683096,4.996394375,6.548272708,1.481617536,6.228606744
Southwest,11.73168806,11.67107059,11.65754742,11.0209178,11.26617611,11.25798745,11.07770938,12.4073017,10.93173666,11.81654073,11.99202529,12.03612354,12.46201761,12.12634988,11.04732375,11.63350106,0.846226001,11.67107059
West,12.6449733,12.68616203,12.9098827,12.62961353,12.60940893,12.14565668,11.94299063,13.27573832,12.74643655,14.03843871,13.82648196,13.39792735,13.47558791,13.38681421,12.33758498,12.93691319,0.772859552,12.74643655
Northwest,7.839368266,8.035603009,7.98297684,7.155427858,7.412756101,7.605542356,6.935601945,8.120253378,7.76969558,8.611315928,9.28285705,8.447199754,7.835604732,8.197549946,7.322400334,7.903610205,0.649752433,7.839368266
Upper Midwest,7.385838075,7.934754613,7.10819822,5.579904765,5.833292917,7.315946817,6.823581111,8.595344343,5.622070498,4.881793683,7.210091211,8.046003465,7.278241448,6.266249729,5.675530959,6.770456124,1.596480508,7.10819822
South,17.23093939,17.73912545,16.85026562,16.62961413,16.70200112,16.80050409,17.58241424,18.25934878,16.46184546,16.25738094,17.26070959,17.89149277,17.83942303,17.07268655,16.95226326,17.16866763,0.909517239,17.07268655
Southeast,17.19310214,17.52620396,17.73943057,17.06618389,16.99710402,16.7670287,17.64993381,17.96294849,16.93273688,16.67768077,18.0124163,18.13270947,18.17418224,17.76698457,18.30791983,17.52710438,0.956038441,17.64993381
Ohio Valley,12.60113294,12.82098229,12.8331416,11.51609731,11.63957648,12.20735762,12.5714182,13.69825299,11.51505579,10.87046177,12.37755171,13.27979125,13.12612345,12.36265129,12.41396691,12.38890411,0.903594892,12.41396691
Northeast,8.326121849,9.17732811,8.049430004,8.13245262,7.74636596,9.054095277,8.856121544,9.613901803,8.160258491,7.476243743,8.096118372,9.077394171,8.77884772,8.428214648,8.100024942,8.47152795,0.857036754,8.326121849
