NOAA Climate region,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,iqr,median
Northern Rockies and Plains,0.203817658,0.622610163,0.27378379,-1.250844014,-1.096341608,-0.250689844,-0.548760382,0.762941398,-0.615831246,-0.814977541,0.708049495,1.010101328,0.175568783,-0.690912212,-1.246673895,-0.183877208,1.201141853,-0.250689844
Southwest,3.975732889,3.690607552,3.759127165,3.059791262,3.376476465,3.57602549,3.168911342,4.280503079,3.2326095,4.079180462,4.514783928,4.226924555,4.608185146,4.277004599,3.433542034,3.817293698,0.846955327,3.759127165
West,5.557475028,5.33012962,5.317554134,5.137882935,5.233526511,5.229858472,4.721842454,5.866871491,5.296888533,6.826598882,6.72939167,6.327378856,6.427407004,6.175751801,5.496752218,5.711687307,0.986357806,5.496752218
Northwest,1.538634888,1.675126526,1.604127701,0.801960375,1.146773435,1.764751812,0.88751915,1.895077974,1.535417896,2.507239029,2.988952729,2.395319455,1.794687755,2.014919496,1.361303963,1.727454146,0.506637805,1.675126526
Upper Midwest,1.687219813,2.349369423,1.442457039,-0.174499593,0.203890306,1.675483615,1.282770757,2.595193372,0.05297743,-0.667962271,1.571792107,2.669919925,1.76963986,0.846283233,0.358880185,1.177561013,1.447044591,1.442457039
South,10.45344178,10.63570449,10.47413157,9.679526933,10.00848168,10.11799039,10.3968495,11.25120104,9.826999074,9.626410299,10.91765303,11.2965278,11.20325139,10.59039735,10.52549829,10.46693764,0.713442725,10.47413157
Southeast,11.21178662,11.10061519,11.29743061,10.82055111,11.14890674,10.49962224,11.29036351,11.84982514,11.21281861,10.62313821,12.2875991,12.06991309,12.25932703,12.10515205,12.36403876,11.47607253,0.962771603,11.29036351
Ohio Valley,6.758690711,6.968760919,6.817653219,5.629794219,6.07886716,6.366816113,6.920616697,7.450481801,5.920791514,5.100786006,6.641371252,7.488383844,7.310311916,6.901769307,6.783655269,6.609249997,0.721847172,6.783655269
Northeast,2.806413362,3.91186192,2.475220535,2.616052943,2.420503349,3.794560399,3.58018068,4.178413079,2.883378383,2.077358032,2.446957453,3.479674556,3.482752971,3.336901698,2.702634567,3.079524262,0.985830086,2.883378383
