NOAA Climate region,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,iqr,median
Northern Rockies and Plains,522.2003666,434.1672216,522.9010532,549.5518662,518.1020659,591.4713392,585.8097563,386.6401695,559.6905436,554.5262741,520.8325949,573.5031887,487.0878369,569.6317411,677.1538817,536.88466,52.10013454,549.5518662
Southwest,411.9445177,391.2155563,368.9191902,369.2086815,332.3637278,429.880184,337.7400575,262.8289573,373.2847023,373.3034715,463.2267412,376.4308138,376.3190613,331.8172195,418.2676362,374.4500345,48.25041311,373.3034715
West,600.4585276,486.4226997,300.7624802,362.2539734,375.3107456,633.3403804,393.0700468,476.9002487,198.4428681,415.8591291,352.1749762,528.0210658,565.7580354,384.2553192,599.6298949,444.8440261,178.1071912,415.8591291
Northwest,829.6413035,981.0490327,769.8410115,774.5817297,782.221313,965.0002585,857.2045139,1027.473317,647.4529182,962.1080053,828.308276,942.1520822,993.8710232,767.2572819,752.1082925,858.6846906,191.3427613,829.6413035
Upper Midwest,768.4969271,740.7960595,848.6364239,876.9430254,809.3241774,933.2041573,775.0282688,713.7870137,878.9799688,907.1020121,883.8459052,953.8869597,884.2091374,987.0294384,1081.022028,869.4861002,127.9768616,878.9799688
South,784.7259618,856.7278369,1026.823587,942.6215726,1053.291023,840.4317463,702.6325421,811.3647598,947.0084667,859.3474957,1250.152362,1024.593274,1002.312772,1128.942805,1080.676812,954.110201,191.477513,947.0084667
Southeast,1325.191429,1137.152938,984.2164654,1247.457099,1516.363188,1195.312052,1190.907224,1221.487577,1516.441368,1365.059754,1460.974087,1277.668882,1388.099803,1690.056293,1352.209496,1324.573177,216.1371306,1325.191429
Ohio Valley,997.9135315,1131.603593,1037.233771,1286.623131,1286.600477,1103.976654,1392.036937,946.9002458,1265.822304,1136.375114,1354.182244,1118.265184,1173.617833,1392.951902,1429.065866,1203.544586,209.2817686,1173.617833
Northeast,1302.852806,1285.112763,1163.347253,1314.002886,1200.285752,1194.158042,1473.487426,1103.770755,1148.906257,1186.829797,1102.46532,1039.98166,1212.505568,1441.199988,1307.874223,1231.785366,149.2367595,1200.285752
