EPA Ecoregion,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,iqr,median
NORTH AMERICAN DESERTS,366.9039567,312.6079887,279.7019436,284.4708429,279.2666875,388.0613538,283.5114908,259.9634914,276.525616,314.1808773,352.1316048,334.0943945,331.2337077,281.1340322,371.6433704,314.3620905,62.69501177,312.6079887
MEDITERRANEAN CALIFORNIA,714.8435333,596.1134527,296.9209392,443.5505124,442.2646629,794.2797048,485.7043387,538.0964901,151.4884544,457.6684348,300.3649628,591.8513328,674.9409689,448.859974,754.3028405,512.7500402,192.6196231,485.7043387
SOUTHERN SEMIARID HIGHLANDS,328.1458957,350.975259,386.2329197,376.6166653,261.6054023,439.9523341,291.0392988,271.7565145,323.6288942,404.466774,447.5089861,400.4396543,277.7712846,390.5329731,443.5717282,359.6163056,95.11911763,376.6166653
TEMPERATE SIERRAS,439.461069,380.9369389,399.1511711,450.4291619,290.242334,492.9447931,345.674413,292.6129355,419.2966468,376.2703495,466.3369506,420.4966883,341.6492828,376.1800163,490.4198173,398.8068379,84.01790081,399.1511711
TROPICAL WET FORESTS,1435.138024,1183.327063,1281.105533,1404.220134,1295.947409,1352.274229,1288.671999,1455.245106,1456.125311,1307.101716,1287.243281,1484.022623,1731.307714,1333.570887,1523.11221,1387.894216,163.3755048,1352.274229
NORTHERN FORESTS,995.1554481,926.8495834,926.5578772,1014.947958,902.620608,984.8942099,1017.157462,905.3771042,982.3080351,1011.906879,918.3399801,965.8960322,1044.222039,1040.948859,1136.602887,984.9189974,89.34897946,984.8942099
NORTHWESTERN FORESTED MOUNTAINS,851.8052828,932.4811911,747.5766824,784.9518415,768.9382787,941.4906536,852.1831485,938.927599,652.7837368,931.8842892,774.0849851,904.1086816,969.0201207,747.9539969,816.6922819,840.9921847,160.6711082,851.8052828
MARINE WEST COAST FOREST,1864.633494,2195.851554,1694.351542,1586.418692,1589.713015,2233.753962,1787.340409,2371.24412,1197.883591,2018.687095,1802.323065,2286.538207,2254.627212,1678.807275,1540.97804,1873.543418,580.5426133,1802.323065
EASTERN TEMPERATE FORESTS,1117.294,1159.682142,1055.644991,1259.275294,1365.843095,1105.391797,1263.780576,1087.504285,1323.057553,1218.625844,1373.852831,1199.163401,1265.288057,1518.51812,1396.92908,1247.323404,205.962253,1259.275294
GREAT PLAINS,598.5092947,542.6643174,728.790046,660.8991544,653.1719607,702.9594246,546.2787318,467.0857346,647.4177317,614.9564121,783.7082814,705.6787338,630.5090824,731.5344031,783.5674408,653.18205,110.5015365,653.1719607
