EPA Ecoregion,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,iqr,median
NORTH AMERICAN DESERTS,11.28507505,11.38304744,11.52225403,10.76986629,10.95576464,10.86187188,10.59706689,12.05584094,10.85678904,11.91608226,12.05483657,11.81225412,11.91715112,11.80956044,10.65162894,11.36327264,1.004837726,11.38304744
MEDITERRANEAN CALIFORNIA,15.03175737,14.95129336,15.03516137,15.14551429,15.04913223,14.36925108,14.2301928,15.33202963,15.31176055,16.53651274,16.13632896,15.82665874,15.94206931,15.76030725,15.05051026,15.31389866,0.760023621,15.14551429
SOUTHERN SEMIARID HIGHLANDS,16.61578011,16.49871176,16.46601551,16.10606481,16.63512798,16.02560982,16.26283823,17.082026,16.14700662,16.94277542,16.59001099,16.79575957,17.46246011,17.01586234,16.10279874,16.58325653,0.66434507,16.59001099
TEMPERATE SIERRAS,13.67786896,13.53914738,13.72165132,13.19862998,13.44553019,13.04625629,13.13061415,14.05875499,13.04041217,14.00545895,13.80037568,13.97920644,14.57908408,14.18369913,13.11561849,13.63482055,0.827710629,13.67786896
TROPICAL WET FORESTS,23.87630828,23.97646027,24.33326685,24.00569232,24.09821218,23.01737466,24.38546206,24.16019513,24.42773861,24.19181328,25.21979915,24.71252788,24.76249635,24.63096847,25.12737,24.32837903,0.619795928,24.33326685
NORTHERN FORESTS,5.938670707,6.685844459,5.594992367,4.756711145,4.708614379,6.498180964,5.846209737,7.09082171,4.726207117,3.945025762,5.636924921,6.590011635,5.784489065,5.190893195,4.559116068,5.570180882,1.476966704,5.636924921
NORTHWESTERN FORESTED MOUNTAINS,6.631950189,6.79553811,6.850730372,5.917509906,6.146955765,6.292894396,5.777152483,7.069958762,6.48664343,7.086799182,7.862292391,7.211758068,6.88191753,6.891006607,5.911897568,6.654333651,0.760557604,6.79553811
MARINE WEST COAST FOREST,10.97324992,10.80653201,10.38436311,10.11428119,10.46032538,10.51093051,9.864946444,10.42289313,10.69532136,11.8417219,12.11542741,11.49497012,10.86978826,11.1837235,10.76200038,10.83336498,0.636877454,10.76200038
EASTERN TEMPERATE FORESTS,13.94527062,14.30618558,14.11773844,13.28826419,13.28042751,13.73337405,14.13773693,14.94031297,13.21952682,12.66678597,14.06813893,14.70327136,14.56258424,13.96029308,14.05264766,13.93217056,0.711142135,14.05264766
GREAT PLAINS,11.48372236,12.04876056,11.14377062,10.30810988,10.28234957,10.81379704,11.03476649,12.55991605,10.34417896,10.18641324,11.63790931,12.13249886,11.67628062,10.60656111,10.06875394,11.08851924,1.330950543,11.03476649
