EPA Ecoregion,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,iqr,median
NORTH AMERICAN DESERTS,3.872741421,3.743737245,3.825100291,3.117725413,3.395521568,3.588236965,3.104795346,4.356656308,3.429639363,4.547748853,4.818433563,4.458245714,4.538254091,4.373055971,3.498920464,3.911254172,0.951370929,3.825100291
MEDITERRANEAN CALIFORNIA,8.316708604,8.023080107,7.826679067,8.010999945,8.011733365,7.835580947,7.43203315,8.298942731,8.040036289,9.549399351,9.249490442,9.05025039,9.206841406,8.869353742,8.509031997,8.415344102,0.948435411,8.298942731
SOUTHERN SEMIARID HIGHLANDS,8.451042652,8.10476323,8.321033476,7.753538681,8.267751477,7.835842122,7.702539891,8.542996328,8.041922467,8.737821696,8.637912146,8.340388818,8.847458298,8.686423153,7.984211071,8.2837097,0.577387467,8.321033476
TEMPERATE SIERRAS,5.502346141,5.044502249,5.391517726,4.82684253,5.034404412,4.938880407,4.675145792,5.480649854,4.872080407,5.833906678,5.938794647,5.78358843,6.308625369,6.018968413,5.224602185,5.391657016,0.822105145,5.391517726
TROPICAL WET FORESTS,19.10527883,18.91350572,19.2980953,19.07988192,19.02837347,18.05196255,19.23484284,19.33152798,19.87612685,19.33275125,20.6552378,20.29620188,20.13702974,19.92300457,20.48978496,19.51690704,0.937436778,19.33152798
NORTHERN FORESTS,0.147338387,1.104286778,-0.219175128,-1.078913557,-0.985391289,0.850398884,0.255811775,1.289369406,-0.921878602,-1.675065623,-0.189434067,1.021972119,0.273420676,-0.35979069,-0.998491574,-0.099036167,1.515544725,-0.189434067
NORTHWESTERN FORESTED MOUNTAINS,0.141032742,0.271710908,0.280196982,-0.623138348,-0.316768779,0.160113756,-0.479621291,0.584282777,0.063194908,0.80516082,1.435205479,0.960224489,0.619929963,0.515113685,-0.274687003,0.276130072,0.707852417,0.271710908
MARINE WEST COAST FOREST,5.835960121,5.584884304,5.311527694,4.970603068,5.190324453,5.836212228,5.069076452,5.501813984,5.645414031,6.774341342,6.822743534,6.617343889,5.848833969,6.041599534,5.76311616,5.787586318,0.538545912,5.76311616
EASTERN TEMPERATE FORESTS,8.06171006,8.317186607,8.102132967,7.320230496,7.645019061,7.81572879,8.245526942,8.898888538,7.610618423,6.885851504,8.375342434,8.8840161,8.842113858,8.48961977,8.38970191,8.125579164,0.709286915,8.245526942
GREAT PLAINS,4.604395068,4.932571985,4.467488047,3.267076298,3.487403656,4.185635666,4.069714058,5.202964533,3.599143994,3.39299877,4.906093187,5.336800798,4.783888087,3.92611531,3.639916265,4.253480381,1.225460508,4.185635666
