NOAA Climate region,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,iqr,median
Northern Rockies and Plains,13.91176125,14.56849954,13.96046769,12.56323574,12.16766175,12.708329,12.53398279,15.30390811,12.56918246,12.512263,14.47148964,14.46777594,13.75425341,12.48066521,11.23938278,13.28085722,1.690998924,12.708329
Southwest,19.48843512,19.65228977,19.55667945,18.98275394,19.15663044,18.940681,18.98717878,20.53487918,18.6315427,19.55467895,19.47003614,19.84607646,20.31664961,19.97645999,18.66128075,19.45041682,0.76421675,19.48843512
West,19.73327209,20.04296936,20.50298924,20.12209988,19.98608337,19.06226491,19.16491086,20.68540601,20.19674702,21.25113787,20.9243822,20.46925341,20.52455987,20.59868563,19.17863814,20.16289332,0.701945019,20.19674702
Northwest,14.14077735,14.39672851,14.36251555,13.50952057,13.67936891,13.44705693,12.98429153,14.34611762,14.00461431,14.71610514,15.57748422,14.49976333,13.8771557,14.38086415,13.28360907,14.08039819,0.794351591,14.14077735
Upper Midwest,13.08485701,13.52063023,12.77437988,11.33469125,11.4631535,12.95690655,12.3648113,14.59601422,11.19146655,10.43184132,12.84888184,13.42258413,12.78725773,11.68650996,10.99210862,12.36373961,1.621959407,12.77437988
South,24.00925571,24.8433925,23.22717775,23.58052184,23.39633896,23.48382417,24.76878351,25.26833512,23.09751398,22.88916792,23.60459052,24.48726378,24.47640939,23.55580092,23.3793108,23.87117912,1.094011707,23.58052184
Southeast,23.17524051,23.95261935,24.18224268,23.31264659,22.84611589,23.0352569,24.01032618,24.0768811,22.65346846,22.73303815,23.73801867,24.19631516,24.08983633,23.42961838,24.25209765,23.5789148,0.978110007,23.73801867
Ohio Valley,18.44430987,18.67404079,18.84931353,17.40309151,17.20094735,18.04844057,18.22293329,19.94685288,17.110038,16.6407771,18.11436999,19.07189551,18.94273083,17.82427164,18.04449727,18.16923401,1.147995586,18.11436999
Northeast,13.8462942,14.44342939,13.62414155,13.64936874,13.07274897,14.31415369,14.13259595,15.05003467,13.43764381,12.87559858,13.74580931,14.67568437,14.07548561,13.52003222,13.49743748,13.86403057,0.714639972,13.74580931
